date,open,high,low,close,close_ema50,close_ema200,ema50_ema200,rsi,rsi_slope,atr,atr_ratio,plus_dm,minus_dm,adx,body,range,hour,session,prev_return,label
2024-01-25,1.08859,1.09003,1.08225,1.08471,1.0928307538717479,1.0942268285928822,-0.0013960747211343438,35.49905682050621,-3.771774603828682,0.005825000000000048,0.005370098919953755,0.0,0.002909999999999968,0.0019321428571428267,-0.0038799999999998835,0.00778000000000012,0,0,-0.0035550901174007388,0
2024-01-26,1.08469,1.08858,1.08131,1.08545,1.092541312543444,1.0941394969650924,-0.0015981844216483854,34.72045588917936,-0.7786009313268494,0.005945000000000057,0.005476991109173483,0.0,0.0009399999999999409,0.0019992857142856796,0.0007600000000000939,0.00727000000000011,0,0,0.0006822099916106161,0
2024-01-29,1.08463,1.08501,1.07961,1.08338,1.0921820453848776,1.094032437293798,-0.0018503919089203347,34.8311010591607,0.11064516998133911,0.005965000000000061,0.005505916667696902,0.0,0.0017000000000000348,0.002034285714285687,-0.0012499999999999734,0.005400000000000071,0,0,-0.0019070431618223305,0
2024-01-30,1.08345,1.08568,1.08121,1.08439,1.0918764749776277,1.0939364926441086,-0.0020600176664808956,27.042453162346547,-7.788647896814155,0.005918571428571487,0.005457973079819705,0.0006699999999999484,0.0,0.0020242857142856847,0.0009399999999999409,0.004469999999999974,0,0,0.0009322675330909469,-1
2024-01-31,1.0844,1.08869,1.07953,1.0814,1.0914656328216426,1.0938117514237693,-0.0023461186021267455,24.387095672840772,-2.655357489505775,0.006078571428571473,0.0056210203698995485,0.003009999999999957,0.0016799999999999038,0.0019385714285714087,-0.0030000000000001137,0.009159999999999835,0,0,-0.0027573105616983673,1
2024-02-01,1.0814,1.08755,1.07801,1.08729,1.0913018825149114,1.0937468583747767,-0.0024449758598652505,38.70503441188372,14.317938739042951,0.006399285714285766,0.005885537173796514,0.0,0.0015200000000001879,0.0020471428571428507,0.005890000000000173,0.009540000000000104,0,0,0.005446643240244242,-1
2024-02-02,1.08731,1.08976,1.07806,1.07934,1.0908327890829541,1.093603506550152,-0.002770717467197814,31.62473443981608,-7.0802999720676425,0.006992142857142907,0.006478165227356616,0.0022100000000000453,0.0,0.002185714285714283,-0.007970000000000033,0.011700000000000044,0,0,-0.007311756753028309,-1
2024-02-05,1.07817,1.07862,1.07236,1.07435,1.090186405197348,1.0934119293705487,-0.0032255241732006557,33.43276045722445,1.8080260174083662,0.0068600000000000405,0.006385256200829819,0.0,0.005700000000000038,0.0020864285714285685,-0.0038200000000001566,0.006259999999999932,0,0,-0.0046231956566049615,0
2024-02-06,1.07432,1.07625,1.07232,1.07546,1.0896088991111774,1.0932333032076575,-0.003624404096480127,34.41097114437066,0.9782106871462162,0.00685642857142862,0.006375345034488577,0.0,4.0000000000040004e-05,0.0019600000000000095,0.001140000000000141,0.003929999999999989,0,0,0.0010331828547496258,0
2024-02-07,1.07543,1.0784,1.07543,1.07725,1.0891242364009353,1.0930742653647953,-0.003950028963860097,37.858507337430666,3.447536193060003,0.006642142857142898,0.006165832310537307,0.0021500000000000963,0.0,0.001955714285714299,0.0018199999999999328,0.002969999999999917,0,0,0.0016644040689564044,0
2024-02-08,1.0772,1.07888,1.07419,1.07766,1.0886746585028595,1.0929208895900213,-0.0042462310871618225,35.24283812353772,-2.615669213892943,0.006760000000000036,0.00627285043462015,0.00048000000000003595,0.0012400000000001299,0.0020100000000000196,0.000460000000000127,0.004690000000000083,0,0,0.0003805987468090688,0
2024-02-09,1.07772,1.07945,1.07624,1.07864,1.0882811424831396,1.0927787911861406,-0.004497648703001067,38.0055249131443,2.762686789606576,0.00678214285714288,0.006287679723090291,0.0005699999999999594,0.0,0.0019571428571428795,0.0009200000000000319,0.003209999999999935,0,0,0.0009093777258133429,0
2024-02-12,1.07853,1.08055,1.07561,1.07727,1.0878493329739969,1.0926244748559304,-0.004775141881933509,39.43184635901536,1.4263214458710607,0.006465714285714297,0.0060019440670529235,0.0010999999999998789,0.0006300000000001305,0.0016157142857142917,-0.0012600000000000389,0.0049399999999999444,0,0,-0.0012701179262776252,-1
